heritage_id,country_id
65096742w,408
65130425w,774
66057913w,794
107183452w,115
64763166w,159
98769058w,1005
98769058w,1041
107482578w,1008
65621655w,717
5699w,796
5725w,843
1070w,668
4519w,794
4523w,794
351w,30
4522w,252
4520w,252
20963673w,43
22026170w,399
25379596w,962
25379596w,965
25379596w,1032
25933006w,796
52284968w,948
64787456w,711
64787456w,159
8399w,142
5908w,183
9427w,912
5859w,96
31347w,148
35045w,750
23800w,233
38095w,736
29317w,836
44112w,1016
3936w,183
4132w,148
3642w,986
27960w,739
28361w,242
9276w,1027
106934w,142
33934w,750
9278w,79
22720w,183
156292w,183
162835w,794
166479w,145
19094w,183
131377w,1030
46069w,232
5595w,37
5595w,159
170047w,796
5747w,858
7341w,36
155727w,843
155699w,39
156675w,183
5724w,854
5788w,810
43278w,954
43278w,953
9900w,55
192201w,40
210610w,794
22889w,145
43286w,148
61750w,750
143042w,403
153430w,20
4527w,668
190060w,881
191504w,1016
26732w,668
72895w,16
122026w,183
171857w,668
61306w,96
237w,237
9141w,668
181427w,96
189113w,16
174779w,45
179046w,668
129072w,794
129072w,389688
129072w,13405524
223589w,974
230025w,794
193325w,874
193241w,219
62378w,145
272777w,38
277683w,159
127754w,183
138170w,408
156316w,183
133575w,29
188617w,145
188754w,17
192522w,43
189616w,668
172613w,96
134905w,408
157543w,183
192493w,258
180274w,142
237128w,30
239748w,33
463141w,29
471765w,148
200521w,763
207692w,148
189849w,224
391229w,31
391391w,16
203197w,854
205952w,30
207917w,43
207985w,142
192764w,668
244347w,1041
202845w,664
208181w,145
71279w,36
25496w,842
48608w,804
244952w,38
263701w,40
272799w,114
277525w,423
289466w,16
214827w,783
214007w,963
466614w,796
467763w,183
490798w,884
217449w,38
265453w,31
242681w,30
273456w,115
192518w,805
190048w,262
581641w,43
604604w,16
604604w,30
201428w,142
794643w,1032
851122w,28
865097w,869
870258w,819
904128w,403
240832w,16
260465w,408
277540w,419
213988w,34
235878w,668
328577w,1008
374096w,142
331099w,1029
370956w,38
391496w,408
584125w,869
642979w,115
650872w,963
253241w,38
272153w,854
205367w,142
208559w,34
318181w,227
330095w,258
379652w,41
422941w,854
309426w,1036
308805w,148
276553w,219
279968w,183
301815w,219
372093w,30
379759w,145
239028w,31
242176w,17
215315w,37
235884w,668
209705w,35
210678w,20
504315w,115
546010w,43
464695w,115
478707w,55
503835w,929
216059w,148
217447w,33
464913w,1011
500189w,916
733676w,1041
755514w,233
435829w,33
464004w,30
278908w,183
309436w,1028
464918w,142
500367w,262
559363w,1041
535577w,265
608100w,948
629210w,244
662102w,262
819729w,36
830805w,801
852085w,16
852427w,183
134873w,148
750245w,38
756790w,924
310719w,258
319296w,219
677879w,31
726842w,38
732708w,41
687973w,39
738657w,142
680322w,842
753162w,38
477157w,884
477462w,159
941412w,419
1025100w,869
1046414w,96
210055w,225
778743w,117
828417w,33
863815w,710
934627w,408
569766w,265
575035w,148
532440w,668
558514w,794
572895w,298
16743243w,96
17013603w,837
19605615w,258
3457361w,148
3457508w,142
3511938w,236
3848455w,96
4411008w,159
5472448w,668
7899619w,794
495276w,884
500376w,215
501833w,79
636774w,38
652634w,36
715124w,29
753895w,96
787425w,30
834893w,833
837627w,145
853364w,148
910661w,224
923894w,29
319821w,30
1790760w,148
2211959w,837
2268839w,924
722732w,213
723999w,35
1334966w,145
1439433w,16
1642003w,34
639487w,760
646076w,145
650531w,219
970717w,837
1075023w,837
744420w,29
817164w,148
909755w,241
503823w,912
503387w,219
2164885w,213
2215414w,222
2215414w,221
2239058w,35
2425839w,962
391338w,16
433634w,20
752091w,668
752181w,783
757067w,39
924276w,1006
924276w,1008
16064866w,142
16064866w,145
16064866w,183
16064866w,213
828291w,414
828071w,223
832957w,38
1982106w,403
2284354w,29
2945656w,45
3106527w,948
3320082w,804
8343770w,45
11402500w,17
12201148w,96
15240737w,843
15726441w,142
15728421w,142
15839120w,29
15924897w,145
16064866w,31
16064866w,38
16064866w,40
559789w,96
574879w,38
595802w,31
608090w,28
608090w,214
3678596w,858
3848141w,96
4115349w,858
4986623w,145
3113345w,884
3370031w,29
3370031w,215
3380656w,668
2114279w,16
2914326w,948
2945646w,38
3320442w,419
3370009w,833
852546w,96
899302w,29
1026845w,34
1100964w,79
422929w,863
457362w,262
732554w,419
743108w,145
945514w,38
1214318w,38
1541665w,408
1595417w,155
1647948w,114
1780249w,183
3411434w,29
3411434w,142
3485435w,38
3485435w,39
3848197w,45
6063031w,774
8343758w,241
9709444w,29
10588848w,29
12220316w,805
38278862w,41
55379486w,794
55524104w,17
64798261w,159
64822967w,183
65725484w,1008
65821410w,79
65924939w,1028
109706388w,183
114559132w,183
621498w,1033
645157w,29
651278w,148
8032604w,36
8032604w,212
8343760w,155
8343764w,155
9055979w,1000
8343766w,736
9724840w,38
10300241w,183
10332177w,843
10344038w,145
10729198w,851
11812902w,924
16363476w,41
16945635w,41
17634781w,214
32148800w,41
32797097w,38
32797097w,224
32797097w,236
29070w,252
1129992w,1027
1130112w,258
16912661w,43
16963755w,41
17117964w,142
17132555w,414
19387263w,20
27969085w,142
64617320w,219
64617589w,219
1123956w,1033
1141003w,117
1256501w,794
936285w,28
1033019w,40
1353292w,189
1569783w,145
26258435w,668
29901643w,227
31271606w,227
60846866w,43
64433741w,229
3522747w,668
3845692w,155
3962347w,878
4147903w,145
4147903w,183
4361429w,711
4923872w,79
6091925w,739
6106226w,800
6106226w,804
6130080w,115
6153869w,115
6535830w,214
1453235w,711
1621046w,40
1756286w,34
2104675w,96
25998008w,794
28246887w,34
29905581w,77
33800328w,258
38153585w,408
38162559w,408
55495511w,29
56695607w,155
60346199w,145
64494878w,215
3364446w,236
3575761w,38
3678597w,36
4120596w,1028
4993586w,35
5572706w,155
55607898w,29
65465081w,96
66124383w,17
66133295w,711
66134819w,843
66134823w,843
66134821w,843
66145762w,851
66197761w,884
66311160w,884
67794917w,96
76742746w,29
87252930w,29
97378981w,668
97379507w,668
97630179w,29
97630176w,29
97631409w,29
97631426w,29
97631477w,29
99669069w,29
103813700w,17
106576599w,29
106590080w,29
106594304w,29
106599146w,29
106600473w,29
106600687w,29
106602893w,29
106603524w,29
106608817w,29
4387456w,1005
65516504w,30
65519027w,30
65519172w,30
65531544w,736
65531558w,736
65531573w,736
65531600w,419
65531632w,419
65531672w,419
65531679w,419
65531687w,419
65531689w,419
65531700w,419
65559538w,155
65562357w,739
65617155w,419
65643515w,262
65643541w,262
65643551w,262
65643569w,262
65643585w,262
65920623w,114
65944709w,948
65944804w,948
65953826w,889
65954037w,398
65954042w,398
65965346w,148
65965345w,148
65965434w,148
65967122w,148
65967121w,148
66000318w,668
66000331w,668
66000328w,668
66000334w,668
2448665w,45
2944797w,142
2945649w,45
3125051w,41
106636w,794
9757828w,29
10620357w,35
11444847w,17
14863645w,183
15477047w,801
15726428w,668
15726321w,142
15727363w,733
5117106w,29
17645099w,145
43178321w,29
43178334w,29
48733884w,17
56276755w,878
56702862w,29
56702867w,29
56762077w,29
56762101w,29
56791718w,29
56791721w,29
57305557w,29
57913794w,31
60375863w,55
63226648w,29
64399661w,142
64468649w,236
64485229w,215
64504329w,224
64523081w,214
64555782w,212
64577163w,218
64577160w,218
64577164w,218
64590519w,183
64606200w,40
64643977w,213
64682794w,31
64682820w,31
64682821w,31
275w,145
641w,38
1279597w,142
1443478w,801
2249113w,142
2328849w,55
18448486w,38
18448486w,237
19611498w,43
20474885w,43
20650612w,142
1139084w,36
1217726w,924
7343w,408
1165586w,858
1656860w,858
65643570w,262
65643576w,262
65660766w,962
65727045w,1008
65937534w,258
65937535w,258
65937533w,258
65944711w,948
65944714w,948
65944722w,948
65953934w,889
65953992w,398
65954000w,398
65954004w,398
65954010w,398
65954039w,398
65954043w,398
65964838w,148
65965316w,148
65965548w,148
65966781w,148
65966996w,29
65967123w,148
65967126w,148
65967125w,148
65967161w,148
65970893w,29
65980114w,232
65981316w,148
65998810w,668
66000297w,668
66004174w,668
66011632w,29
66023675w,794
66023691w,794
66023234w,252
66023240w,252
66041090w,29
66051680w,148
65460718w,96
65498175w,96
65498283w,96
65499203w,96
65517962w,30
65519274w,30
65531431w,298
65531453w,298
65531474w,298
65531478w,298
65531541w,736
65531561w,736
65531617w,419
65531650w,419
65531664w,419
65531677w,419
65554680w,155
65562356w,739
65643542w,262
65643596w,262
65685310w,965
65815537w,79
65921507w,912
65920621w,114
65926576w,1028
65936192w,1041
65953995w,398
65954031w,398
65954035w,398
65954038w,398
65954044w,398
65965421w,148
65965432w,148
106729782w,29
13220079w,948
15052130w,1016
15613336w,238
15728409w,142
15819677w,241
15924695w,96
16147548w,230
16912637w,142
17640714w,145
17640722w,145
17645115w,145
17645151w,145
17645195w,145
17647108w,145
17647114w,145
17663129w,145
17675549w,145
43147903w,29
66054694w,183
66054780w,183
66054786w,183
66057939w,794
66057987w,796
66057991w,796
66057602w,252
66058299w,29
66058306w,29
66062083w,29
66087931w,17
66089098w,17
66089147w,17
66089896w,17
66133756w,423
66198224w,884
66204350w,858
66207282w,878
66207386w,878
66207417w,878
66213874w,805
2727469w,846
2962473w,142
3529269w,262
3529269w,1747689
156067w,28513
156067w,212
157550w,183
156067w,131964
43148397w,29
43148439w,29
43148480w,29
43148561w,29
43149060w,29
43149083w,29
43149094w,29
43150099w,29
43152065w,29
64705367w,43
64958288w,29
65099260w,884
65114170w,800
65121255w,241
15229957w,45
15240748w,36
15613314w,96
15727490w,43
15831671w,29
16482294w,17
17125919w,148
17132416w,224
17255582w,265
17296768w,38
17993813w,148
64686737w,45
64686787w,45
64686796w,45
64699469w,43
64699534w,43
64705294w,43
64705502w,43
64705501w,43
64787667w,159
64810426w,145
64811611w,145
64811608w,145
64811615w,145
64811616w,145
64811622w,145
64811621w,145
64811626w,145
64811630w,145
64811629w,145
64811633w,145
64811652w,145
64811658w,145
64811657w,145
64811675w,145
64811696w,145
64811710w,145
64811760w,145
64811786w,145
64811788w,145
64811820w,145
64811860w,145
64811868w,145
64811912w,145
64811917w,145
64811927w,183
64819278w,145
64821766w,183
64821765w,183
64821773w,183
64822931w,142
64828711w,142
64829137w,142
64848245w,29
106655955w,29
106656138w,29
106656172w,29
106656355w,29
106656510w,29
106661851w,29
184429w,218
184534w,43
4111w,148
4187w,148
106662676w,29
106676129w,29
9705991w,29
29561578w,29
29583924w,215
29908614w,928
30250486w,29
30911567w,96
30925787w,17
31025023w,229
31841104w,229
32979674w,224
35972985w,38
42449859w,29
43083696w,29
43090285w,29
43115744w,29
43147211w,29
43147624w,29
43148385w,29
106676150w,29
1142337w,403
55264655w,117
55264655w,200464
1975533w,29
2021552w,145
2072102w,1028
45690w,854
56004w,183
36034w,148
38888w,41
131013w,41
5780w,1049
184427w,668
5513w,159
375634w,854
394443w,854
4243w,794
12501w,148
15727412w,858
15830652w,854
15830656w,30
15904183w,148
16886821w,38
16963852w,869
17155656w,399
20644172w,183
20963672w,38
15830652w,200464
13362w,38
5762117w,31
6057341w,29
10749904w,29
12125635w,790
12192954w,1028
13567081w,854
15224718w,148
15255454w,34
15728398w,954
15839097w,668
27964w,298
27985w,792
65498982w,96
65517383w,30
65531350w,414
65531415w,750
65531428w,298
65531417w,750
65531445w,298
65531467w,298
65531469w,298
65531476w,298
65531483w,298
65531542w,736
65531553w,736
65531556w,736
65531597w,419
65531615w,419
65531626w,419
65531628w,419
65531641w,419
65531653w,419
65531683w,419
65531694w,419
65562359w,739
65562360w,739
65562361w,739
106608818w,29
106612098w,29
106614027w,29
106616335w,29
106622585w,29
106634785w,29
106634854w,29
106635163w,29
106642630w,29
106655699w,29
66089882w,17
66089902w,17
66089908w,17
66089914w,17
66089912w,17
66092099w,17
66111205w,17
66111211w,17
66124378w,17
66124382w,17
66124384w,17
66132612w,819
66133761w,423
66134825w,843
66145748w,851
66145765w,851
66198228w,884
66199409w,884
66204356w,858
66207331w,878
66207355w,878
85884704w,17
97011004w,38
97361053w,668
97361413w,668
97630175w,29
97631480w,29
97631481w,29
106594302w,29
106608815w,29
106610202w,29
106614022w,29
106620815w,29
106634540w,29
106610360w,29
106613024w,29
106613049w,29
106614015w,29
106614407w,29
106620814w,29
106627451w,29
106627493w,29
106627724w,29
106650997w,29
106661840w,29
106676546w,29
106687065w,29
106690927w,29
106772392w,29
106772597w,29
43176636w,29
43176687w,29
43176909w,29
43178312w,29
62069250w,183
64758537w,159
64760209w,159
64760240w,159
64760268w,159
64761163w,159
64761221w,159
64769499w,159
64787152w,159
64787246w,159
64798093w,159
64811930w,183
64811940w,183
64811948w,183
64811967w,183
64811975w,183
64812029w,183
64812035w,183
64822259w,183
106653769w,29
106661860w,29
106675114w,29
106676161w,29
106676194w,29
106679719w,29
106681523w,29
106681526w,29
106681524w,29
106681525w,29
106685496w,29
106686026w,29
106686024w,29
106686025w,29
106686070w,29
65531404w,414
65531450w,298
65531455w,298
65531485w,298
65531494w,298
65531496w,298
65531501w,298
65531538w,736
2946w,142
106675789w,29
106675810w,29
6247w,38
43148511w,29
55074735w,96
55530176w,17
56044966w,29
56258744w,38
56259942w,29
56702859w,29
56702864w,29
56753541w,29
56762076w,29
56762081w,29
56762111w,29
64398293w,191
64399662w,142
64399660w,142
64418451w,222
64418664w,222
64533630w,159
64533630w,212
64555530w,29
64590522w,183
64618111w,219
64686805w,45
64699535w,43
64705221w,43
64810512w,145
64810755w,145
64811586w,145
39671w,145
64759140w,159
64759473w,159
64760341w,159
64798090w,159
64798098w,159
64798470w,159
64812000w,183
64812011w,183
64812021w,183
64812079w,183
64812129w,183
64812138w,183
64812160w,183
64812205w,183
64812210w,183
64812217w,183
64812220w,183
64812271w,183
64812295w,183
64812330w,183
64812350w,183
64812358w,183
64812405w,183
64812476w,183
64812489w,183
64812530w,183
64812552w,183
64812593w,183
64812693w,183
64816567w,145
64816692w,145
64816698w,145
64816697w,145
64816702w,145
64816701w,145
64830443w,142
64860985w,29
64861198w,29
64861219w,29
64987060w,29
64987078w,29
64987079w,29
64987102w,29
64987112w,29
64987127w,29
64987128w,29
64987147w,29
65007091w,232
65007107w,232
65007109w,232
65007948w,38
65010552w,38
65016566w,38
65017043w,38
65028275w,38
65028278w,38
65028375w,38
65028547w,38
65099438w,408
65099452w,408
65121471w,241
65335267w,96
64812350w,1747689
64812049w,183
64812061w,183
64812084w,183
64812146w,183
64812155w,183
64812242w,183
64812275w,183
64812290w,183
64812346w,183
64812371w,183
64812385w,183
64812423w,183
64812439w,183
64812480w,183
64812485w,183
64812505w,183
64812541w,183
64812580w,183
64812589w,183
64812602w,183
64812788w,183
64816694w,145
64816693w,145
64816706w,145
64822093w,183
64822101w,183
64822235w,183
64831173w,142
64850369w,29
64860841w,29
64957051w,29
64983846w,29
64987059w,29
64987062w,29
64987083w,29
64987091w,29
64987098w,29
64987121w,29
64987140w,29
64987145w,29
65007965w,38
65017042w,38
65028276w,38
65099447w,408
65099466w,408
65099994w,408
65100021w,408
65100032w,408
65121669w,241
65121823w,241
65122084w,241
65465034w,96
65465088w,96
65494476w,96
65494658w,96
65497485w,96
65498089w,96
29265w,145
189764w,142
106660676w,29
106660682w,29
106660855w,29
106675780w,29
106686750w,29
106715350w,29
106727292w,29
106753187w,29
106753309w,29
106755036w,29
106755215w,29
106755980w,29
106770951w,29
106770948w,29
178124w,189
180402w,30
214944w,43
215897w,38
318422w,774
328488w,974
22647w,43
272768w,1042
305044w,902
19053w,41
27356w,851
66050835w,29
66057944w,794
66057945w,794
66057984w,796
66057594w,252
66057625w,148
66057630w,155
66062086w,29
66065255w,29
66089904w,17
66092179w,17
66124375w,17
66132602w,819
66132603w,819
66132607w,819
66133766w,423
66134815w,843
66145745w,851
66198242w,884
66207258w,878
66207318w,878
66213453w,881
97630178w,29
97631479w,29
97631595w,29
106580786w,29
106581264w,29
106583260w,29
106590082w,29
106590085w,29
106594301w,29
86486w,242
99372w,31
118468w,842
2061016w,145
17645247w,145
17645260w,145
64787367w,159
64798096w,159
64811590w,145
64811591w,145
64811594w,145
64811592w,145
64811598w,145
64811606w,145
64811612w,145
64811623w,145
64811624w,145
64811635w,145
64811638w,145
64811637w,145
64811642w,145
64811641w,145
64811644w,145
64811648w,145
64811655w,145
64811664w,145
64811670w,145
64811672w,145
64811679w,145
64811694w,145
64811713w,145
64811722w,145
64811720w,145
64811736w,145
64811765w,145
64811795w,145
64811803w,145
64811808w,145
64811817w,145
64811841w,145
64811844w,145
64811899w,145
64811896w,145
64811945w,183
64811970w,183
64811993w,183
64812019w,183
64812087w,183
64812107w,183
64812104w,183
64812144w,183
64812213w,183
64812298w,183
64812308w,183
64812315w,183
64812312w,183
64812391w,183
64812420w,183
64819258w,145
64819274w,145
64821764w,183
64821768w,183
64821769w,183
64824439w,183
64824442w,183
64824468w,213
64828704w,142
64829134w,142
64829430w,142
106634515w,29
245151w,29
3201319w,17
5055467w,794
28163477w,843
61867409w,38
65944708w,948
65953849w,889
65953897w,889
65954052w,398
65965238w,148
65965322w,148
65965324w,148
65966782w,148
65967165w,148
65969274w,29
65969284w,29
66000294w,668
66000325w,668
66004181w,668
66023670w,794
66023674w,794
66054705w,183
66054735w,183
66057938w,794
66057990w,796
66057988w,796
66057047w,36
66058304w,29
65944741w,948
66057620w,148
107675480w,29
108096731w,298
108379504w,739
29384w,822
28471w,29
43277w,794
173532w,822
4513w,668
4107w,148
106824101w,29
106875127w,29
106882030w,29
192237w,1016
156011w,31
156011w,29
156011w,38
156011w,39
156011w,36
156011w,40
156011w,142
156011w,183
156011w,214
156011w,215
156011w,212
156011w,213
156011w,218
156011w,219
156011w,222
156011w,221
156011w,224
156011w,225
4516w,252
4528w,668
4521w,252
181123w,668
462702w,229
464942w,29
191763w,17
205832w,41
506511w,668
539518w,1025
564321w,1019
19833w,38
46074w,148
54898w,29
64812426w,183
64812436w,183
64812448w,183
64812457w,183
64812468w,183
64812522w,183
64812549w,183
64812623w,183
64812638w,183
64812671w,183
64816691w,145
64816696w,145
64822016w,183
64830378w,142
64830469w,142
64830490w,142
64830501w,142
64850483w,29
64850540w,29
64860994w,29
64987084w,29
64987103w,29
64987105w,29
64987124w,29
65007090w,232
65010442w,38
65011083w,38
65011756w,38
65028264w,38
65028277w,38
65028376w,38
65099422w,408
65099436w,408
65099441w,408
65099444w,408
65099460w,408
65099469w,408
65099484w,408
65100019w,408
65114438w,800
65132921w,774
65335758w,96
65460899w,96
65465058w,96
65494543w,96
65494609w,96
65498055w,96
65498879w,96
65531370w,414
65531391w,414
43014w,38
211962w,15180
211962w,159
211962w,34266
211962w,186096
23513w,881
151963w,183
155495w,159
445649w,37
457324w,974
459629w,262
705132w,43
724484w,262
736692w,45
89675w,218
163607w,424
594282w,79
606763w,794
647958w,145
75459w,41
141080w,29
158324w,183
106608819w,29
106614023w,29
47476w,29
47611w,43
126084w,801
138986w,805
270725w,159
273195w,30
134927w,148
135779w,43
120730w,17
854672w,874
854672w,1986139
42798w,252
747875w,408
799893w,902
127963w,794
131198w,408
921745w,29
938685w,954
1135808w,408
179883w,38
189934w,730
1218832w,159
1265889w,55
1265889w,183
1405154w,1019
156308w,36
156308w,183
48472w,874
61757w,28
223385w,414
207193w,27
650546w,912
685476w,183
688060w,39
1761052w,34
1969107w,1019
2707802w,38
151545w,183
155743w,36
501344w,1008
201698w,142
203241w,38
202494w,142
69307w,55
28061w,414
28416w,96
213237w,414
220289w,30
174139w,17
178835w,822
391973w,224
396132w,34
122082w,219
152225w,709
274131w,30
278512w,155
267394w,155
272771w,96
217379w,41
217452w,142
212205w,20
775154w,800
797120w,96
824602w,928
12156631w,29
12193567w,810
15278743w,833
15278712w,184
15726282w,924
15813904w,30
15924669w,43
209643w,184
212214w,38
499019w,1049
499527w,843
501153w,298
334150w,142
380470w,159
421806w,36
456817w,668
459493w,183
477051w,29
310049w,858
326951w,664
333850w,142
277531w,858
306978w,148
189648w,668
190128w,881
273834w,148
305169w,739
3888860w,819
5773394w,43
5821857w,29
7698713w,41
7769551w,17
9603543w,29
