h_id,c_id
1585008h,30
1630814h,39
5351073h,30
12495h,878
18536h,145
18547h,148
23265h,142
19564041h,34
145361h,79
167870h,30
168575h,148
189476h,851
25007h,30
1630837h,39
1630833h,183
1630911h,36
1637090h,30
1682221h,183
1743514h,30
1795050h,30
1874734h,213
1879918h,183
1943482h,38
2048307h,30
2110681h,183
2135814h,55
2141411h,252
691491h,30
696927h,30
713960h,30
731089h,30
737602h,846
5764722h,334
5764716h,79
2258969h,30
2297323h,30
2363048h,16
2398831h,45
2416198h,30
2461831h,30
2523683h,142
2567200h,30
2579998h,45
2631856h,30
2648096h,30
2748565h,145
2837946h,30
2899830h,55
202599h,30
220141h,183
240711h,30
264203h,30
264858h,30
5430586h,79
5472026h,30
5472556h,45
5475490h,30
5475499h,30
5545989h,30
5594050h,29
5594662h,30
5594866h,30
5595660h,145
5602124h,30
5637110h,30
5646336h,145
5683588h,794
5705250h,794
5710559h,33
5764519h,668
5764576h,881
5764570h,145
5764637h,145
5764648h,145
5764652h,32
3699364h,30
4040675h,213
4260261h,30
4261094h,30
4261374h,30
4261384h,30
4261513h,30
4272608h,30
4272804h,30
4385582h,30
4448816h,17
4479814h,30
4596016h,145
4725573h,30
4791273h,30
4792351h,30
4793581h,30
4806513h,43
804702h,30
805467h,30
845846h,30
851102h,224
869378h,30
896259h,183
900983h,30
24971211h,30
25204442h,39
25247913h,30
26237391h,17
1143174h,16
1147483h,30
1189944h,29
1200583h,30
1237113h,45
1281171h,30
1304383h,30
1309059h,30
6172690h,851
6353197h,865
6411467h,30
6421328h,865
6439146h,854
6448583h,794
6493973h,30
6538417h,794
6747847h,334
6747856h,30
6751307h,408
6824905h,664
6825178h,822
6869131h,30
6914041h,30
7040843h,17
7126178h,30
7203612h,30
7216435h,801
7247936h,30
1324543h,30
1340132h,30
1340365h,30
1342565h,30
1347033h,30
1360313h,30
1368043h,30
19817552h,16
19864040h,30
19962146h,183
20046383h,183
20075891h,212
20650664h,142
20828319h,30
20830632h,30
21402642h,30
21504226h,145
21532003h,912
21568919h,29
21619228h,148
22073967h,145
22118627h,17
22583354h,213
22976715h,878
22997753h,30
23305592h,30
23640921h,408
23646439h,145
23685988h,145
23828028h,29
23907594h,148
23907601h,30
24054070h,145
24241038h,145
24693404h,30
24708167h,213
11415297h,17
11700542h,30
12020416h,213
12072758h,30
13049756h,29
13103085h,32
13529145h,145
13529180h,145
14683065h,30
14689609h,30
14693298h,30
14705265h,30
14753688h,29
14954702h,145
15068974h,794
15228738h,28
15640601h,29
15909474h,148
15923583h,8646
15923583h,148
15978898h,145
16256099h,145
7969454h,833
7988922h,30
616726h,30
634258h,30
637389h,30
646339h,33
654279h,30
654906h,30
656743h,851
2902501h,801
2905596h,30
2908788h,801
2912992h,30
2928530h,30
2935180h,30
2961297h,142
2971063h,191
2992084h,142
3037053h,41
3142395h,142
1368798h,148
1401439h,40
1412478h,145
1426968h,30
1429071h,30
1430318h,15180
1430318h,159
28675745h,36
28680070h,45
28746397h,29
28755991h,29
28756542h,29
7281354h,878
7304924h,30
7336896h,30
7374338h,145
7419570h,30
7503956h,145
7520490h,145
7553769h,869
7553765h,30
7553767h,148
7575371h,145
7591596h,30
7641354h,30
7643550h,30
7720948h,30
7730896h,145
7736171h,145
7745429h,30
7754900h,145
7756547h,30
7774298h,30
7832418h,145
739914h,30
743147h,142
752939h,30
779373h,30
804686h,30
278380h,30
280339h,30
280910h,30
306000h,794
510121h,183
546221h,30
1436845h,30
1457875h,38
1481002h,145
1481002h,179876
916673h,30
952861h,16
979477h,218
995338h,30
1011881h,183
1015042h,183
1049027h,878
1049209h,30
1051604h,30
1063195h,29
26242212h,145
26306764h,145
26398842h,145
26463120h,145
26483035h,145
26537718h,145
26546731h,145
26609450h,145
26617946h,145
26684094h,145
26685058h,145
26700322h,16
26707727h,29
26723836h,33
26734729h,43
26878946h,869
26902701h,33
26960663h,145
27033712h,27
27456363h,668
27825013h,183
27826630h,408
27962079h,38
27981667h,878
28053246h,664
28184307h,408
28184310h,408
28192892h,148
28214174h,145
28456180h,851
28609672h,145
28662736h,29
28675210h,36
4822225h,43
4842213h,778
4841991h,145
4949600h,30
4979998h,30
4841991h,179876
6108856h,17
6109260h,30
6109264h,30
5785660h,29
5872085h,29
5878173h,794
5883194h,794
5884157h,794
5885917h,794
5891776h,794
5892374h,794
5894717h,794
5901285h,794
5903404h,29
5903511h,29
5907540h,794
5908224h,794
5911169h,30
5911415h,236
5912133h,43
5918301h,794
5920727h,794
5952911h,30
5963275h,794
6044861h,30
6058109h,29
28756862h,29
28757120h,29
28757959h,29
28757977h,29
28769024h,29
28777988h,145
28789756h,1028
28844857h,29
29000794h,408
29007102h,29
29053655h,142
29053691h,145
29415039h,29
30438998h,183
30504052h,145
30504754h,145
30522857h,31
30644484h,30
30736107h,224
30927563h,17
30946698h,8646
31277862h,191
31827676h,213
31827738h,213
31861463h,213
32947262h,668
56214797h,159
56446735h,148
56478942h,817
56522910h,142
56598554h,189
56651595h,27
56705491h,29
56711100h,155
29909111h,29
29948012h,145
29981099h,252
30014678h,43
30021076h,183
30021879h,145
30035305h,159
30047899h,183
30090585h,851
30097763h,145
30097821h,148
30139243h,213
30140581h,218
30147522h,878
30174421h,854
30242708h,43
30251296h,38
30277430h,230
30301927h,145
30302746h,31
30306779h,408
30307361h,79
30308807h,79
30337433h,159
30346525h,145
30347445h,38
30402016h,145
30407987h,36
30409284h,40
10526554h,34
10526572h,34
11330330h,17
11330335h,17
11330332h,17
11330330h,252
1504641h,183
1514587h,30
1535018h,30
1535845h,30
1541365h,30
1064873h,30
1092961h,30
1096141h,17
1106716h,28
1107391h,30
1116194h,30
1127749h,33
1136654h,30
1136841h,30
9054487h,45
9294281h,794
9294078h,36
9294080h,213
9358597h,30
9871323h,45
10332618h,45
10343928h,45
10344021h,45
10352195h,45
10352192h,45
10352198h,45
10352202h,45
10352206h,45
10352207h,45
10352211h,45
10352218h,45
10352219h,45
10524043h,114
10524047h,34
550379h,878
569978h,30
587108h,17
51025456h,38
51222702h,183
51824364h,145
51918515h,408
51956193h,30
52886668h,38
53632218h,145
53806946h,45
53881282h,45
53999203h,17
54427554h,224
54474974h,45
54475112h,45
54475217h,45
54475224h,45
54652699h,833
54873914h,30
55075422h,30
55185046h,55
55209416h,30
55346142h,29
55347999h,29
55605106h,30
55865629h,145
56027180h,183
56071855h,145
56084920h,145
56085005h,145
56085020h,145
56085053h,145
56085075h,26
56085075h,145
56150916h,145
56194854h,159
17835167h,145
18008489h,29
16318627h,17
16528268h,142
16621592h,38
16833188h,183
16843761h,29
16890775h,408
16949846h,30
16995460h,30
17043498h,184
17183802h,145
17226268h,17
17229982h,17
17390148h,45
17444603h,183
17444624h,183
17444904h,145
17512898h,16
17532427h,145
17533843h,145
17534979h,145
17544934h,145
17549646h,145
17554574h,145
17557267h,145
17619057h,33
17793480h,145
17834531h,145
17834546h,145
17834566h,145
4985118h,30
4993716h,45
4999251h,30
5049621h,30
5049734h,45
5049843h,45
5061223h,30
5065298h,17
5120095h,30
5179785h,145
5189543h,30
5230243h,30
5302326h,30
5330926h,30
7988923h,30
7988926h,30
18112026h,145
18286846h,55
18340195h,213
18509174h,79
18509281h,79
18534517h,145
18712428h,851
18760038h,33
18813051h,55
19307691h,145
19348190h,142
19362430h,39
19513101h,145
3153055h,30
3185653h,30
3192583h,17
3278286h,30
3281025h,17
3356472h,30
3359202h,43
3389734h,16
3414568h,45
3471438h,30
3482309h,17
3498798h,30
3533060h,142
3545225h,30
1580067h,30
61090457h,1033
61100884h,145
61114082h,38
61165878h,145
61357012h,794
61465403h,159
61567322h,145
61573625h,408
61717587h,145
61728255h,27
61741817h,30
113163876h,812
113164074h,812
113164146h,812
113164237h,812
113163876h,30
113164074h,30
113164146h,30
113164237h,30
113171856h,812
113171856h,30
113564549h,142
114289194h,31
115282741h,31
116215655h,31
49593839h,183
49594143h,183
49595033h,183
49807274h,145
50308536h,878
50353048h,43
50356312h,29
50611971h,145
50809149h,232
50841764h,145
56827407h,833
57297679h,29
57385878h,145
57613527h,38
57739907h,148
58069409h,159
58086658h,159
58229015h,29
59131992h,184
59138963h,159
59209270h,43
59420694h,27
59492165h,869
59491160h,27
59491401h,27
59492195h,27
59492250h,27
59492478h,27
59493677h,27
59519828h,213
59872505h,408
59872532h,408
60055194h,408
60323642h,30
60389409h,142
60452089h,258
60641676h,40
60642328h,224
60732352h,878
60746742h,30
60748351h,30
60767158h,30
60847568h,213
60912347h,183
33035435h,43
33101471h,218
33189243h,183
33229354h,145
33382454h,408
34204337h,878
37857517h,145
37858337h,145
37858682h,145
38251391h,30
38251968h,30
40037779h,34
41069183h,55
41300192h,79
42341625h,145
42748124h,794
42867978h,794
42874514h,794
43031921h,218
43371249h,30
44406603h,30
45316350h,145
45472344h,1028
47004857h,30
47166648h,29
47401774h,142
47518776h,869
47902573h,183
48843972h,30
49393251h,833
49573628h,1011
49593283h,183
110010967h,826
110041692h,142
110147122h,145
110251555h,213
110407965h,142
110660109h,794
110660372h,794
110664670h,794
110681137h,31
110735133h,29
110831132h,29
111041461h,183
111243216h,334
111445383h,16
112111547h,33
112147576h,31
112168936h,31
113051152h,812
113051152h,30
98433308h,33
98433345h,33
98433742h,33
98433825h,33
98550889h,38
98582250h,33
98784123h,34
99454646h,668
99583717h,31
99703247h,142
100877359h,16957
100877359h,183
103331335h,408
104083353h,408
104234251h,408
104830558h,30
105554563h,79
105621651h,929
106090892h,55
106192327h,29
106393048h,43
106996884h,213
107121457h,30
107168152h,30
107607598h,30
108294146h,29
108309815h,29
108516880h,38
108729880h,31
108865646h,30
108865673h,30
109451447h,31
78897920h,408
79309518h,664
79942014h,31
81100403h,29
81100400h,29
81495406h,869
84029894h,183
85749503h,30
85758819h,30
85802924h,30
85845504h,30
86595792h,33
86754328h,30
89425684h,183
90404749h,258
90545243h,29
90682834h,258
91607548h,851
92176916h,145
92263872h,27
93121772h,142
96377064h,43
96743206h,30
96757505h,29
96787014h,817
98407274h,33
98407275h,33
98407311h,33
98412731h,33
98412733h,33
98413370h,33
98432053h,33
66586875h,851
66658603h,869
66660297h,878
66771676h,668
66813051h,45
66813690h,45
66814366h,45
66924306h,145
66969081h,145
66969175h,145
66969326h,145
67013894h,38
67206508h,38
67765140h,869
67863357h,145
67868674h,55
67874379h,145
67920401h,233
68121379h,213
63164854h,145
63190257h,408
63296024h,833
63435869h,30
63608863h,145
63790123h,1036
63832005h,36
63859908h,222
63869688h,43
63883252h,142
63885416h,145
63975276h,145
64152343h,145
64363310h,145
64701276h,1042
64769038h,213
64785112h,29
64822290h,189
64827562h,334
64845950h,55
64845961h,45
64859000h,854
64868965h,145
64933804h,878
64992591h,145
65037569h,41
65042009h,30
65042333h,30
65043882h,30
65218555h,28
65769542h,142
65770076h,145
66382805h,27
66423173h,878
66424250h,43
66437370h,878
66439260h,668
66424172h,644636
61868406h,145
61885625h,79
61888685h,712
61897167h,869
62068054h,79
62479268h,183
63025895h,27
68167138h,213
69383898h,408
69531148h,55
69647678h,145
70206906h,833
71409297h,145
71817207h,36
71828738h,145
72067004h,159
72172868h,29
72177013h,155
72278577h,668
72812966h,115
72988389h,924
73139954h,1028
73274620h,183
73499085h,183
73621829h,79
73640935h,45
73879785h,836
73898961h,224
74527699h,878
74665770h,252
74812978h,810
75018491h,36
75721557h,145
75971164h,851
76021053h,17
76355045h,222
76620470h,878
76721707h,833
76724214h,36
76726211h,159
76795105h,79
77416106h,145
77418726h,953
78036841h,30
78054939h,846
